,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
60,HK_FUTURE.999010,2018-03-29 00:00:00,29933.0,30050.0,30233.0,29752.0,0.0,0.0,227073,6710097298.0,-0.949304502603995,30338.0
61,HK_FUTURE.999010,2018-04-03 00:00:00,30060.0,30152.0,30318.0,29750.0,0.0,0.0,194483,5783777072.0,0.33943427620632277,30050.0
62,HK_FUTURE.999010,2018-04-04 00:00:00,30136.0,29405.0,30315.0,29343.0,0.0,0.0,225223,6712252652.0,-2.4774475988325815,30152.0
63,HK_FUTURE.999010,2018-04-06 00:00:00,29388.0,29837.0,29977.0,29147.0,0.0,0.0,209114,6165611931.0,1.4691379017173951,29405.0
64,HK_FUTURE.999010,2018-04-09 00:00:00,29848.0,30283.0,30580.0,29752.0,0.0,0.0,219307,6591842316.0,1.494788350035191,29837.0
65,HK_FUTURE.999010,2018-04-10 00:00:00,30260.0,30761.0,30816.0,30061.0,0.0,0.0,219631,6663012042.0,1.5784433510550473,30283.0
66,HK_FUTURE.999010,2018-04-11 00:00:00,30743.0,30891.0,31000.0,30624.0,0.0,0.0,187283,5724232922.0,0.422613048990605,30761.0
67,HK_FUTURE.999010,2018-04-12 00:00:00,30897.0,30767.0,31151.0,30605.0,0.0,0.0,213281,6562107632.0,-0.4014114143277977,30891.0
68,HK_FUTURE.999010,2018-04-13 00:00:00,30748.0,30867.0,31080.0,30706.0,0.0,0.0,174329,5360047574.0,0.3250235642084051,30767.0
69,HK_FUTURE.999010,2018-04-16 00:00:00,30876.0,30180.0,31000.0,30158.0,0.0,0.0,218859,6646627258.0,-2.2256779084459133,30867.0
70,HK_FUTURE.999010,2018-04-17 00:00:00,30189.0,30055.0,30527.0,29992.0,0.0,0.0,235251,7069179515.0,-0.414181577203446,30180.0
71,HK_FUTURE.999010,2018-04-18 00:00:00,30060.0,30313.0,30509.0,29955.0,0.0,0.0,254192,7661467412.0,0.8584262185992347,30055.0
72,HK_FUTURE.999010,2018-04-19 00:00:00,30329.0,30758.0,30791.0,30214.0,0.0,0.0,234075,7150639075.0,1.4680170223996305,30313.0
73,HK_FUTURE.999010,2018-04-20 00:00:00,30756.0,30358.0,30879.0,30317.0,0.0,0.0,242030,7379860852.0,-1.3004746732557384,30758.0
74,HK_FUTURE.999010,2018-04-23 00:00:00,30368.0,30243.0,30502.0,30145.0,0.0,0.0,247551,7320011645.0,-0.37881283351999473,30358.0
75,HK_FUTURE.999010,2018-04-24 00:00:00,30238.0,30637.0,30700.0,30165.0,0.0,0.0,276685,7811884179.0,1.3027808087821975,30243.0
76,HK_FUTURE.999010,2018-04-25 00:00:00,30642.0,30179.0,30782.0,30179.0,0.0,0.0,291449,8378254457.0,-1.4949244377713222,30637.0
77,HK_FUTURE.999010,2018-04-26 00:00:00,30185.0,30037.0,30455.0,29837.0,0.0,0.0,219810,6482206953.0,-0.4705258623546174,30179.0
78,HK_FUTURE.999010,2018-04-27 00:00:00,30044.0,30150.0,30310.0,30030.0,0.0,0.0,28984,870650111.0,0.3762026833571928,30037.0
79,HK_FUTURE.999010,2018-04-30 00:00:00,30042.0,30665.0,30724.0,30017.0,0.0,0.0,153389,4661215750.0,1.7081260364842457,30150.0
80,HK_FUTURE.999010,2018-05-02 00:00:00,30674.0,30555.0,30696.0,30392.0,0.0,0.0,202714,6141667973.0,-0.3587151475623675,30665.0
81,HK_FUTURE.999010,2018-05-03 00:00:00,30567.0,30056.0,30589.0,29901.0,0.0,0.0,238984,7175007103.0,-1.6331206021927673,30555.0
82,HK_FUTURE.999010,2018-05-04 00:00:00,30076.0,29780.0,30169.0,29644.0,0.0,0.0,268154,7997727930.0,-0.9182858663827522,30056.0
83,HK_FUTURE.999010,2018-05-07 00:00:00,29759.0,29757.0,30046.0,29575.0,0.0,0.0,252229,7506929806.0,-0.07723304231027536,29780.0
84,HK_FUTURE.999010,2018-05-08 00:00:00,29754.0,30202.0,30265.0,29679.0,0.0,0.0,209296,6268120390.0,1.4954464495748898,29757.0
85,HK_FUTURE.999010,2018-05-09 00:00:00,30197.0,30418.0,30420.0,30022.0,0.0,0.0,226974,6853873177.0,0.715184424872525,30202.0
86,HK_FUTURE.999010,2018-05-10 00:00:00,30420.0,30680.0,30700.0,30296.0,0.0,0.0,201510,6153064601.0,0.8613321059898744,30418.0
87,HK_FUTURE.999010,2018-05-11 00:00:00,30680.0,31094.0,31143.0,30626.0,0.0,0.0,210596,6456677418.0,1.349413298565841,30680.0
88,HK_FUTURE.999010,2018-05-14 00:00:00,31083.0,31456.0,31475.0,31037.0,0.0,0.0,186051,5784003203.0,1.1642117450311957,31094.0
89,HK_FUTURE.999010,2018-05-15 00:00:00,31472.0,30990.0,31499.0,30958.0,0.0,0.0,182405,5659793565.0,-1.4814343845371312,31456.0
90,HK_FUTURE.999010,2018-05-16 00:00:00,30996.0,30934.0,31085.0,30641.0,0.0,0.0,226124,6957164252.0,-0.18070345272668603,30990.0
91,HK_FUTURE.999010,2018-05-17 00:00:00,30917.0,30880.0,31320.0,30817.0,0.0,0.0,202799,6263579615.0,-0.174565203336135,30934.0
92,HK_FUTURE.999010,2018-05-18 00:00:00,30862.0,30896.0,31077.0,30782.0,0.0,0.0,185581,5721849145.0,0.05181347150259067,30880.0
93,HK_FUTURE.999010,2018-05-21 00:00:00,31127.0,31226.0,31407.0,30747.0,0.0,0.0,185741,5775166310.0,1.0680994303469704,30896.0
94,HK_FUTURE.999010,2018-05-23 00:00:00,31227.0,30545.0,31288.0,30522.0,0.0,0.0,205107,6297369862.0,-2.180874911932364,31226.0
95,HK_FUTURE.999010,2018-05-24 00:00:00,30551.0,30699.0,30768.0,30485.0,0.0,0.0,210121,6322383329.0,0.504174169258471,30545.0
96,HK_FUTURE.999010,2018-05-25 00:00:00,30701.0,30644.0,30762.0,30376.0,0.0,0.0,242836,6936382034.0,-0.17915893025831459,30699.0
97,HK_FUTURE.999010,2018-05-28 00:00:00,30655.0,30760.0,30858.0,30485.0,0.0,0.0,205584,5839496351.0,0.3785406604881869,30644.0
98,HK_FUTURE.999010,2018-05-29 00:00:00,30644.0,30424.0,30711.0,30418.0,0.0,0.0,134071,4008973196.0,-1.092327698309493,30760.0
99,HK_FUTURE.999010,2018-05-30 00:00:00,30416.0,30055.0,30486.0,29982.0,0.0,0.0,40186,1203519019.0,-1.2128582697870103,30424.0
100,HK_FUTURE.999010,2018-05-31 00:00:00,29871.0,30497.0,30513.0,29847.0,0.0,0.0,208072,6242106514.0,1.4706371651971386,30055.0
101,HK_FUTURE.999010,2018-06-01 00:00:00,30495.0,30395.0,30495.0,30239.0,0.0,0.0,208269,6308558568.0,-0.33445912712725845,30497.0
102,HK_FUTURE.999010,2018-06-04 00:00:00,30377.0,30899.0,30950.0,30364.0,0.0,0.0,183488,5635639242.0,1.658167461753578,30395.0
103,HK_FUTURE.999010,2018-06-05 00:00:00,30908.0,31063.0,31163.0,30812.0,0.0,0.0,191285,5888880738.0,0.530761513317583,30899.0
104,HK_FUTURE.999010,2018-06-06 00:00:00,31083.0,31201.0,31277.0,30946.0,0.0,0.0,186804,5797981264.0,0.44425844252003993,31063.0
105,HK_FUTURE.999010,2018-06-07 00:00:00,31223.0,31535.0,31544.0,31154.0,0.0,0.0,182866,5654974583.0,1.070478510304157,31201.0
106,HK_FUTURE.999010,2018-06-08 00:00:00,31510.0,30840.0,31513.0,30798.0,0.0,0.0,201297,6203437669.0,-2.203900428095767,31535.0
107,HK_FUTURE.999010,2018-06-11 00:00:00,30846.0,31043.0,31120.0,30818.0,0.0,0.0,175751,5432581931.0,0.6582360570687419,30840.0
108,HK_FUTURE.999010,2018-06-12 00:00:00,31043.0,31042.0,31237.0,30873.0,0.0,0.0,191085,5912108101.0,-0.0032213381438649614,31043.0
109,HK_FUTURE.999010,2018-06-13 00:00:00,31040.0,30743.0,31045.0,30637.0,0.0,0.0,167079,5135222437.0,-0.9632111333032666,31042.0
110,HK_FUTURE.999010,2018-06-14 00:00:00,30750.0,30412.0,30824.0,30270.0,0.0,0.0,212269,6460311256.0,-1.076667859350096,30743.0
111,HK_FUTURE.999010,2018-06-15 00:00:00,30431.0,30259.0,30576.0,30220.0,0.0,0.0,199765,6052129469.0,-0.5030908851769039,30412.0
112,HK_FUTURE.999010,2018-06-19 00:00:00,30260.0,29371.0,30295.0,29267.0,0.0,0.0,269265,7871574901.0,-2.93466406688919,30259.0
113,HK_FUTURE.999010,2018-06-20 00:00:00,29407.0,29665.0,29969.0,29304.0,0.0,0.0,278613,8189309047.0,1.000987368492731,29371.0
114,HK_FUTURE.999010,2018-06-21 00:00:00,29713.0,29296.0,29860.0,29234.0,0.0,0.0,270059,7927604746.0,-1.2438901061857408,29665.0
115,HK_FUTURE.999010,2018-06-22 00:00:00,29265.0,29335.0,29427.0,29007.0,0.0,0.0,262120,7604354413.0,0.1331239759694156,29296.0
116,HK_FUTURE.999010,2018-06-25 00:00:00,29341.0,28953.0,29453.0,28864.0,0.0,0.0,266574,7310925686.0,-1.302198738708028,29335.0
117,HK_FUTURE.999010,2018-06-26 00:00:00,28977.0,28945.0,29033.0,28476.0,0.0,0.0,324741,8730501493.0,-0.027630988153213826,28953.0
118,HK_FUTURE.999010,2018-06-27 00:00:00,28952.0,28372.0,29047.0,28275.0,0.0,0.0,231057,6497625508.0,-1.9796165140784245,28945.0
119,HK_FUTURE.999010,2018-06-28 00:00:00,28380.0,28401.0,28700.0,28302.0,0.0,0.0,45170,1282936877.0,0.10221344988016355,28372.0
120,HK_FUTURE.999010,2018-06-29 00:00:00,28254.0,28726.0,28765.0,28118.0,0.0,0.0,228140,6451946308.0,1.1443259040174643,28401.0
121,HK_FUTURE.999010,2018-07-03 00:00:00,28713.0,28317.0,28755.0,27775.0,0.0,0.0,305855,8465462660.0,-1.4237972568404929,28726.0
